Id,Like Count,Comment Count,retweet Count,View count,Title,countOfWords,countOfPositive,countOfNegative
0,1418.0,292.0,116.0,317000.0,Politics,16,1,1
1,20200.0,134.0,1014.0,1600000.0,Politics,9,1,0
2,13100.0,1283.0,2488.0,1900000.0,Politics,48,1,4
3,8251.0,1574.0,1476.0,1700000.0,Politics,41,2,1
4,7866.0,1043.0,2971.0,725600.0,Politics,43,0,2
5,796.0,144.0,198.0,13800.0,Politics,30,2,0
6,8795.0,178.0,942.0,693100.0,Politics,21,1,0
7,595.0,49.0,261.0,109400.0,Politics,45,2,3
8,2371.0,957.0,417.0,58900.0,Politics,7,1,0
9,1348.0,41.0,345.0,154400.0,Politics,16,2,1
10,4596.0,209.0,1355.0,88300.0,Politics,49,1,1
11,202.0,26.0,90.0,16300.0,Politics,34,2,0
12,295.0,9.0,140.0,23400.0,Politics,7,1,0
13,20300.0,239.0,5145.0,1100000.0,Politics,38,3,0
14,3902.0,505.0,1515.0,157500.0,Politics,15,0,0
15,8097.0,530.0,2633.0,726800.0,Politics,37,1,4
16,1234.0,144.0,872.0,36000.0,Politics,33,1,3
17,0.0,0.0,0.0,16.0,Politics,27,1,0
18,1.0,0.0,0.0,4.0,Politics,44,0,2
19,722.0,7.0,198.0,9828.0,Politics,38,1,2
20,16.0,2.0,5.0,382.0,Politics,20,1,0
21,31.0,46.0,16.0,4753.0,Politics,8,1,0
22,242.0,22.0,34.0,3074.0,Politics,13,0,1
23,236.0,14.0,94.0,5376.0,Politics,44,1,0
24,120.0,20.0,8.0,2220.0,Politics,35,2,0
25,8356.0,1580.0,1477.0,1800000.0,Politics,41,2,1
26,220.0,121.0,72.0,33000.0,Politics,14,1,1
27,61.0,5.0,15.0,632.0,Politics,47,1,1
28,9.0,1.0,3.0,211.0,Politics,23,1,0
29,117.0,5.0,44.0,5923.0,Politics,19,1,2
30,1020.0,63.0,194.0,41900.0,Politics,14,1,1
31,11.0,2.0,2.0,308.0,Politics,13,0,1
32,142.0,4.0,83.0,4011.0,Politics,10,0,1
33,882.0,385.0,136.0,232100.0,Politics,49,1,1
34,23.0,5.0,5.0,404.0,Politics,5,0,0
35,33.0,,7.0,226.0,Politics,14,1,1
36,2653.0,105.0,662.0,118100.0,Politics,2,0,0
37,66.0,,1.0,5673.0,Politics,11,0,0
38,193.0,22.0,13.0,1884.0,Politics,40,2,1
39,380.0,50.0,218.0,13500.0,Politics,41,1,1
40,7.0,,2.0,60.0,Politics,40,1,3
41,7608.0,74.0,599.0,12500.0,Politics,15,0,1
42,185.0,4.0,4.0,23000.0,Politics,12,1,1
43,403.0,31.0,74.0,8031.0,Politics,40,2,2
44,,,,,Politics,1,0,0
45,428.0,164.0,92.0,7374.0,Politics,45,1,0
46,106.0,2.0,19.0,1506.0,Politics,14,0,0
47,0.0,0.0,0.0,10.0,Politics,13,0,0
48,0.0,0.0,0.0,8.0,Politics,10,1,1
49,20.0,0.0,5.0,116.0,Politics,40,2,3
50,0.0,1.0,1.0,23.0,Politics,9,0,1
51,0.0,0.0,0.0,10.0,Politics,7,1,0
52,0.0,0.0,0.0,5.0,Politics,8,1,1
53,0.0,0.0,0.0,3.0,Politics,29,3,0
54,0.0,0.0,0.0,11.0,Politics,12,1,0
55,1.0,0.0,0.0,4.0,Politics,18,2,0
56,23.0,1.0,1.0,757.0,Politics,29,2,1
57,0.0,0.0,6.0,17.0,Politics,10,0,0
58,32.0,0.0,13.0,3641.0,Science,27,0,0
59,1205.0,63.0,592.0,67000.0,Science,7,1,0
60,187.0,19.0,71.0,17000.0,Science,22,1,0
61,55.0,14.0,15.0,4476.0,Science,43,2,1
62,337.0,49.0,337.0,13000.0,Science,16,1,0
63,122.0,42.0,28.0,47000.0,Science,17,1,0
64,419.0,39.0,70.0,21000.0,Science,25,1,0
65,127.0,50.0,63.0,1353.0,Science,1,0,0
66,63000.0,3289.0,3790.0,3000000.0,Science,2,0,0
67,128.0,9.0,58.0,7782.0,Science,16,0,2
68,43.0,9.0,14.0,1996.0,Science,6,0,1
69,12.0,11.0,2.0,193.0,Science,16,0,0
70,54.0,6.0,35.0,3997.0,Science,12,1,0
71,22.0,8.0,19.0,2064.0,Science,43,1,0
72,540.0,37.0,225.0,11000.0,Science,30,0,0
73,390.0,6.0,59.0,12000.0,Science,18,0,0
74,13.0,16.0,5.0,2682.0,Science,10,0,1
75,15.0,1.0,1.0,366.0,Science,39,2,1
76,15000.0,873.0,2407.0,760000.0,Science,23,0,2
77,7.0,1.0,4.0,415.0,Science,6,0,0
78,14.0,,45.0,295.0,Science,1,0,0
79,137.0,8.0,7.0,9215.0,Science,3,0,0
80,0.0,,0.0,,Science,6,0,0
81,24.0,1.0,21.0,356.0,Science,7,0,0
82,29.0,2.0,5.0,971.0,Science,42,0,1
83,10.0,0.0,1.0,1442.0,Science,20,0,0
84,197.0,9.0,2.0,6625.0,Science,9,0,0
85,1266.0,84.0,119.0,29000.0,Science,15,0,0
86,41.0,9.0,3.0,1443.0,Science,16,2,0
87,35.0,,13.0,3711.0,Science,27,0,0
88,23.0,6.0,27.0,14000.0,Science,28,0,0
89,8.0,1.0,1.0,116.0,Science,11,1,0
90,5.0,0.0,1.0,591.0,Science,13,0,0
91,3.0,,2.0,28.0,Science,14,0,0
92,1.0,1.0,0.0,43.0,Science,13,0,0
93,20.0,1.0,3.0,456.0,Science,25,1,0
94,0.0,,0.0,,Science,39,0,0
95,126.0,2.0,56.0,7503.0,Science,33,0,2
96,27.0,4.0,17.0,16000.0,Science,18,0,0
97,77.0,5.0,13.0,14000.0,Science,21,0,0
98,16.0,2.0,5.0,2936.0,Science,13,0,1
99,10.0,,1.0,302.0,Science,38,0,0
100,21.0,2.0,12.0,924.0,Science,42,0,1
101,11.0,5.0,2.0,298.0,Science,9,1,0
102,1.0,0.0,1.0,21.0,Science,30,0,0
103,11.0,,7.0,223.0,Science,22,0,2
104,0.0,0.0,0.0,8.0,Science,47,1,2
105,13.0,4.0,1.0,784.0,Science,20,2,0
106,47.0,0.0,17.0,7314.0,Science,12,0,1
107,1308.0,337.0,15.0,100000.0,Science,32,0,0
108,8.0,0.0,1.0,306.0,Science,12,0,0
109,0.0,0.0,0.0,13.0,Science,18,0,0
110,3.0,2.0,0.0,222.0,Science,12,0,1
111,7.0,1.0,16.0,3401.0,Science,28,0,0
112,12.0,,1.0,163.0,Science,46,2,0
113,87.0,9.0,42.0,798.0,Science,7,0,0
114,218.0,5.0,76.0,10000.0,Science,41,3,4
115,211.0,19.0,60.0,18000.0,Science,21,1,2
116,7133.0,204.0,1534.0,158000.0,Science,44,0,1
117,460.0,21.0,217.0,8982.0,Science,25,1,0
118,66.0,6.0,5.0,2877.0,Science,23,0,0
119,57.0,5.0,32.0,922.0,Science,29,0,0
120,16.0,4.0,3.0,392.0,Science,15,0,0
121,975.0,67.0,137.0,41000.0,Science,19,1,1
122,3.0,3.0,4.0,309.0,Science,10,0,0
123,0.0,0.0,0.0,6.0,Art,7,1,0
124,0.0,1.0,0.0,1.0,Art,41,0,0
125,2.0,3.0,0.0,1.0,Art,19,0,1
